merge_kecamatan,Latitude,Longitude
"Ampek Angkek,Agam,Sumatera Barat",-0.2899385,100.4251993
"Baso,Agam,Sumatera Barat",-0.2805455,100.4859979
"Koto Tangah,Padang,Sumatera Barat",-0.9345836,100.3912699
"Batang Anai,Padang Pariaman,Sumatera Barat",-0.7597521,100.32117
"Salimpaung,Tanah Datar,Sumatera Barat",-0.344397,100.5430799
"Payakumbuh,Lima Puluh Kota,Sumatera Barat",-0.1730809,100.5876065
"Jati Uwung,Tangerang,Banten",-6.198745,106.573598
"Seberang Ulu Ii,Palembang,Sumatera Selatan",-3.001119,104.7857236
"Tanjung Pandan,Belitung,Kepulauan Bangka Belitung",-2.7428999,107.6202744
"Pangkal Balam,Pangkal Pinang,Kepulauan Bangka Belitung",-2.101032,106.127192
"Rangkui,Pangkal Pinang,Kepulauan Bangka Belitung",-2.1303431,106.109821
"Taman Sari,Pangkal Pinang,Kepulauan Bangka Belitung",-2.1212139,106.1142919
"Talang Padang,Tanggamus,Lampung",-5.3707229,104.7699075
"Padang Ratu,Lampung Tengah,Lampung",-5.0790534,104.969019
"Abung Selatan,Lampung Utara,Lampung",-4.9089755,104.921585
"Jati Agung,Lampung Selatan,Lampung",-5.289536,105.3612445
"Kebayoran Lama,Jakarta Selatan,Dki Jakarta",-6.249321,106.7803815
"Semanu,Gunung Kidul,D I Yogyakarta",-7.99901,110.644358
"Ciledug,Tangerang,Banten",-6.240094,106.704859
"Cilandak,Jakarta Selatan,Dki Jakarta",-6.2898024,106.7903519
"Limo,Depok,Jawa Barat",-6.3663035,106.7796109
"Bojong Gede,Bogor,Jawa Barat",-6.4769375,106.7880935
"Tebet,Jakarta Selatan,Dki Jakarta",-6.225523,106.850764
"Cibeber,Cianjur,Jawa Barat",-6.940809,107.1330784
"Bantargebang,Bekasi,Jawa Barat",-6.336217,106.9921284
"Matraman,Jakarta Timur,Dki Jakarta",-6.20383,106.8620266
"Pulo Gadung,Jakarta Timur,Dki Jakarta",-6.1907914,106.8916284
"Cakung,Jakarta Timur,Dki Jakarta",-6.1907914,106.8916284
"Klari,Karawang,Jawa Barat",-6.3959085,107.3790569
"Bekasi Utara,Bekasi,Jawa Barat",-6.2054535,107.006438
"Bekasi Barat,Bekasi,Jawa Barat",-6.231754,106.9629205
"Babelan,Bekasi,Jawa Barat",-6.1263046,107.0217935
"Way Jepara,Lampung Timur,Lampung",-5.2139099,105.6988905
"Cengkareng,Jakarta Barat,Dki Jakarta",-6.1548795,106.7379741
"Beji,Depok,Jawa Barat",-6.3723065,106.818092
"Setu,Bekasi,Jawa Barat",-6.358777,107.0348331
"Sawah Besar,Jakarta Pusat,Dki Jakarta",-6.1555405,106.8326644
"Cijeruk,Bogor,Jawa Barat",-6.681057,106.791227
"Wonogiri,Wonogiri,Jawa Tengah",-7.799965,110.9502239
"Songgom,Brebes,Jawa Tengah",-7.0074696,109.0084645
"Cibarusah,Bekasi,Jawa Barat",-6.4328355,107.1106144
"Pandeglang,Pandeglang,Banten",-6.325535,106.1113499
"Taman Sari,Jakarta Barat,Dki Jakarta",-6.1461656,106.8193746
"Pagedangan,Tangerang,Banten",-6.2971785,106.6157741
"Tanjung Priok,Jakarta Utara,Dki Jakarta",-6.127665,106.8706644
"Ciasem,Subang,Jawa Barat",-6.3161939,107.6618985
"Cilincing,Jakarta Utara,Dki Jakarta",-6.127581,106.9397505
"Cimanuk,Pandeglang,Banten",-6.35531,106.03995
"Pabuaran,Serang,Banten",-6.1985849,106.0935855
"Cigudeg,Bogor,Jawa Barat",-6.51072,106.54315
"Sukaraja,Sukabumi,Jawa Barat",-6.8721766,106.9751725
"Pacet,Cianjur,Jawa Barat",-6.746276,107.029557
"Ciparay,Bandung,Jawa Barat",-7.0515172,107.7129046
"Bojongsoang,Bandung,Jawa Barat",-6.9879191,107.669937
"Banjarsari,Ciamis,Jawa Barat",-6.9879191,107.669937
"Beber,Cirebon,Jawa Barat",-6.8239204,108.526082
"Weru,Cirebon,Jawa Barat",-6.717347,108.4950375
"Lemahabang,Cirebon,Jawa Barat",-6.83155,108.6168836
"Ciledug,Cirebon,Jawa Barat",-6.899607,108.7503716
"Babakan,Cirebon,Jawa Barat",-6.8642904,108.717269
"Kertajati,Majalengka,Jawa Barat",-6.6379345,108.1291266
"Bantarujeg,Majalengka,Jawa Barat",-6.973868,108.2473206
"Sukma Jaya,Depok,Jawa Barat",-6.3977255,106.8427795
"Dawuan,Majalengka,Jawa Barat",-6.725293,108.204602
"Cimalaka,Sumedang,Jawa Barat",-6.7989801,107.946251
"Buahdua,Sumedang,Jawa Barat",-6.6828115,107.950992
"Rancaekek,Bandung,Jawa Barat",-6.9789651,107.7711552
"Cikedung,Indramayu,Jawa Barat",-6.5289125,108.171195
"Subang,Subang,Jawa Barat",-6.5562132,107.7651416
"Cijambe,Subang,Jawa Barat",-6.6254465,107.7763654
"Pasawahan,Purwakarta,Jawa Barat",-6.572855,107.48183
"Pangkalan,Karawang,Jawa Barat",-6.4851731,107.236929
"Kutawaluya,Karawang,Jawa Barat",-6.1738099,107.34254
"Lemahabang,Karawang,Jawa Barat",-6.2855899,107.451215
"Talagasari,Karawang,Jawa Barat",-6.2684149,107.4155301
"Pedes,Karawang,Jawa Barat",-6.082966,107.3697696
"Ciampea,Bogor,Jawa Barat",-6.57886,106.701082
"Ciomas,Bogor,Jawa Barat",-6.6068275,106.763125
"Baros,Sukabumi,Jawa Barat",-6.956859,106.9350364
"Lengkong,Bandung,Jawa Barat",-6.9341725,107.6226669
"Cikancung,Bandung,Jawa Barat",-7.0349744,107.8227949
"Harjamukti,Cirebon,Jawa Barat",-6.764967,108.551086
"Kramatmulya,Kuningan,Jawa Barat",-6.940897,108.4859609
"Binangun,Cilacap,Jawa Tengah",-7.6750935,109.264335
"Cilacap Tengah,Cilacap,Jawa Tengah",-7.6918299,108.9943574
"Bobotsari,Purbalingga,Jawa Tengah",-7.282155,109.363625
"Kaligondang,Purbalingga,Jawa Tengah",-7.3783899,109.41573
"Karanganyar,Purbalingga,Jawa Tengah",-7.3011649,109.4071949
"Kota Blora,Blora,Jawa Tengah",-6.9611531,111.4213439
"Ngawen,Blora,Jawa Tengah",-7.0332599,111.2869615
"Mlonggo,Jepara,Jawa Tengah",-6.5222017,110.7089369
"Baturetno,Wonogiri,Jawa Tengah",-7.960014,110.9432925
"Semarang Selatan,Semarang,Jawa Tengah",-6.9962614,110.425705
"Semarang Barat,Semarang,Jawa Tengah",-6.984923,110.3828061
"Galur,Kulon Progo,D I Yogyakarta",-7.9403509,110.228203
"Wonosari,Gunung Kidul,D I Yogyakarta",-7.9761705,110.5915045
"Ngawen,Gunung Kidul,D I Yogyakarta",-7.836404,110.699008
"Kraton,Yogyakarta,D I Yogyakarta",-7.8091125,110.3625054
"Purwokerto Timur,Banyumas,Jawa Tengah",-7.4163736,109.2486415
"Kalasan,Sleman,D I Yogyakarta",-7.7578919,110.469498
"Turi,Sleman,D I Yogyakarta",-7.7578919,110.469498
"Babadan,Ponorogo,Jawa Timur",-7.81689,111.480658
"Garum,Blitar,Jawa Timur",-8.0133315,112.2535595
"Sanankulon,Blitar,Jawa Timur",-8.0876855,112.1416894
"Kesamben,Blitar,Jawa Timur",-8.1148826,112.3739794
"Gampengrejo,Kediri,Jawa Timur",-7.7623894,112.031971
"Kepanjen,Malang,Jawa Timur",-8.131497,112.5752205
"Singosari,Malang,Jawa Timur",-7.8478314,112.6700331
"Randuagung,Lumajang,Jawa Timur",-8.046405,113.31325
"Senduro,Lumajang,Jawa Timur",-8.052128,113.0401245
"Gucialit,Lumajang,Jawa Timur",-8.0294444,113.1343896
"Ajung,Jember,Jawa Timur",-8.2420815,113.6634734
"Rogojampi,Banyuwangi,Jawa Timur",-8.3389875,114.3045164
"Besuki,Situbondo,Jawa Timur",-7.7498381,113.704269
"Situbondo,Situbondo,Jawa Timur",-7.72034,113.9858475
"Benowo,Surabaya,Jawa Timur",-7.2285644,112.6466195
"Babat,Lamongan,Jawa Timur",-7.1090759,112.209705
"Bluluk,Lamongan,Jawa Timur",-7.3014585,112.1256415
"Kandat,Kediri,Jawa Timur",-7.916677,112.0369439
"Pesantren,Kediri,Jawa Timur",-7.8468845,112.04903
"Gurah,Kediri,Jawa Timur",-7.8226634,112.1078895
"Krembangan,Surabaya,Jawa Timur",-7.2271601,112.7244149
"Taman,Sidoarjo,Jawa Timur",-7.3631164,112.6674644
"Menganti,Gresik,Jawa Timur",-7.275051,112.575706
"Kenjeran,Surabaya,Jawa Timur",-7.2163135,112.7718929
"Simokerto,Surabaya,Jawa Timur",-7.239675,112.753496
"Maduran,Lamongan,Jawa Timur",-7.0050665,112.2715306
"Sedati,Sidoarjo,Jawa Timur",-7.406781,112.7935875
"Tambaksari,Surabaya,Jawa Timur",-7.2510125,112.7694885
"Gondang,Tulungagung,Jawa Timur",-8.07423,111.8277094
"Mengwi,Badung,Bali",-8.5478706,115.1542541
"Mesuji,Ogan Komering Ilir,Sumatera Selatan",-3.9444494,105.150203
"Sambelia,Lombok Timur,Nusa Tenggara Barat",-8.3520546,116.6239664
"Lunyuk,Sumbawa,Nusa Tenggara Barat",-8.9594569,117.1995544
"Kempo,Dompu,Nusa Tenggara Barat",-8.5007944,118.2116975
"Pujut,Lombok Tengah,Nusa Tenggara Barat",-8.8549615,116.3125025
"Donggo,Bima,Nusa Tenggara Barat",-8.4192405,118.5695744
"Kelumpang Hulu,Kota Baru,Kalimantan Selatan",-2.9217785,115.9572355
"Sungai Pinang,Banjar,Kalimantan Selatan",-3.229707,115.3067416
"Sukaraja,Bogor,Jawa Barat",-6.577853,106.8507965
"Murung Pudak,Tabalong,Kalimantan Selatan",-2.1404595,115.4473075
"Banjarmasin Utara,Banjarmasin,Kalimantan Selatan",-3.2922575,114.5954521
"Landasan Ulin,Banjar Baru,Kalimantan Selatan",-3.457461,114.7927961
"Bengo,Bone,Sulawesi Selatan",-4.6240744,120.049797
"Lappariaja,Bone,Sulawesi Selatan",-4.7122975,119.9605136
"Gantarang,Bulukumba,Sulawesi Selatan",-5.4987239,120.129577
"Lalabata,Soppeng,Sulawesi Selatan",-4.394153,119.866481
"Sajoanging,Wajo,Sulawesi Selatan",-3.9918635,120.281118
"Majauleng,Wajo,Sulawesi Selatan",-4.0567744,120.167474
"Tambusai Utara,Rokan Hulu,Riau",1.285267,100.32529
"Pangkatan,Labuhan Batu,Sumatera Utara",2.1898155,100.0225465
"Gunung Maligas,Simalungun,Sumatera Utara",3.0467045,99.148749
"Tapung,Kampar,Riau",0.5978165,101.057879
"Bangko Pusako,Rokan Hilir,Riau",1.746717,100.8127149
"Kandis,S I A K,Riau",1.0229615,101.195059
"Siempat Nempu Hulu,Dairi,Sumatera Utara",2.8196104,98.2769775
"Parbuluan,Dairi,Sumatera Utara",2.6431885,98.4676821
"Silahi Sabungan,Dairi,Sumatera Utara",2.770278,98.5252885
"Berastagi,Karo,Sumatera Utara",3.1852909,98.504913
"Tanjung Morawa,Deli Serdang,Sumatera Utara",3.529034,98.8045769
"Sibolga Sambas,Sibolga,Sumatera Utara",1.7326685,98.7854424
"Tampan,Pekanbaru,Riau",0.4619045,101.390914
"Badiri,Tapanuli Tengah,Sumatera Utara",1.576141,98.841486
"Sei Tualang Raso,Tanjung Balai,Sumatera Utara",2.9890859,99.787276
"Sei Raja,Tanjung Balai,Sumatera Utara",2.992861,99.7823924
"Pinggir,Bengkalis,Riau",1.1602644,101.426739
"Medan Deli,Medan,Sumatera Utara",3.6626345,98.6794975
"Titi Papan,Medan,Sumatera Utara",3.6847005,98.672501
"Bagan Sinembah,Rokan Hilir,Riau",1.7723485,100.5140131
"Payakumbuh Barat,Payakumbuh,Sumatera Barat",-0.2356184,100.6103924
"Banuhampu,Agam,Sumatera Barat",-0.3537065,100.3729389
"Bungursari,Purwakarta,Jawa Barat",-6.4620085,107.4784154
"Canduang,Agam,Sumatera Barat",-0.3349805,100.45055
"Mandau,Bengkalis,Riau",1.275915,101.1891229
"Periuk,Tangerang,Banten",-6.1688849,106.590963
"Sirah Pulau Padang,Ogan Komering Ilir,Sumatera Selatan",-3.273991,104.8736894
"Teluk Gelam,Ogan Komering Ilir,Sumatera Selatan",-3.591518,104.792566
"Toboali,Bangka Selatan,Kepulauan Bangka Belitung",-2.9246679,106.4725354
"Plaju,Palembang,Sumatera Selatan",-3.0122631,104.8105446
"Gunung Megang,Muara Enim,Sumatera Selatan",-3.5394925,103.8949306
"Talang Kelapa,Banyu Asin,Sumatera Selatan",-2.837158,104.6894961
"Kosambi,Tangerang,Banten",-6.0791225,106.681628
"Cilimus,Kuningan,Jawa Barat",-6.870358,108.4611979
"Cigandamekar,Kuningan,Jawa Barat",-6.883571,108.5372405
"Gerunggang,Pangkal Pinang,Kepulauan Bangka Belitung",-2.1012605,106.0759214
"Anak Ratu Aji,Lampung Tengah,Lampung",-4.9612069,104.9470325
"Mesuji Raya,Ogan Komering Ilir,Sumatera Selatan",-3.7601444,105.1139385
"Anak Tuha,Lampung Tengah,Lampung",-5.0068294,105.059286
"Abung Semuli,Lampung Utara,Lampung",-4.8105059,105.0525359
"Sukabumi,Bandar Lampung,Lampung",-5.411178,105.3155275
"Larangan,Tangerang,Banten",-6.2382291,106.733237
"Pancoran,Jakarta Selatan,Dki Jakarta",-6.2579475,106.8436415
"Mustikajaya,Bekasi,Jawa Barat",-6.307499,107.013255
"Medan Satria,Bekasi,Jawa Barat",-6.2036815,106.982591
"Rawalumbu,Bekasi,Jawa Barat",-6.280399,106.9945355
"Ranca Bungur,Bogor,Jawa Barat",-6.5200089,106.7128785
"Cigombong,Bogor,Jawa Barat",-6.7447805,106.8263576
"Karang Tengah,Tangerang,Banten",-6.2096499,106.7087085
"Kali Deres,Jakarta Barat,Dki Jakarta",-6.1361465,106.7088995
"Tanggungharjo,Grobogan,Jawa Tengah",-7.10794,110.621641
"Jambe,Tangerang,Banten",-6.3215575,106.500569
"Tenjo,Bogor,Jawa Barat",-6.372885,106.4868765
"Kotabaru,Karawang,Jawa Barat",-6.3964705,107.491041
"Cipeucang,Pandeglang,Banten",-6.3842219,106.007221
"Rumpin,Bogor,Jawa Barat",-6.4566396,106.6402451
"Cimahi Selatan,Cimahi,Jawa Barat",-6.906759,107.5396195
"Greged,Cirebon,Jawa Barat",-6.8161895,108.567399
"Plered,Cirebon,Jawa Barat",-6.679541,108.5044601
"Pabuaran,Cirebon,Jawa Barat",-6.8964436,108.720322
"Pabedilan,Cirebon,Jawa Barat",-6.8964436,108.720322
"Purwakarta,Purwakarta,Jawa Barat",-6.5414161,107.4550443
"Tegalwaru,Karawang,Jawa Barat",-6.5212244,107.242915
"Cibinong,Bogor,Jawa Barat",-6.5212244,107.242915
"Cireunghas,Sukabumi,Jawa Barat",-6.938378,107.0249295
"Cisaat,Sukabumi,Jawa Barat",-6.902101,106.8871728
"Cikidang,Sukabumi,Jawa Barat",-6.8871285,106.634958
"Cibeureum,Sukabumi,Jawa Barat",-6.9394395,106.9467744
"Tengah Tani,Cirebon,Jawa Barat",-6.702275,108.5240805
"Kertanegara,Purbalingga,Jawa Tengah",-7.29634,109.42753
"Sagulung,B A T A M,Kepulauan Riau",1.01312,103.9861889
"Wanadadi,Banjarnegara,Jawa Tengah",1.01312,103.9861889
"Kalinyamatan,Jepara,Jawa Tengah",-6.7204789,110.7171906
"Parungponteng,Tasikmalaya,Jawa Barat",-7.4905945,108.1320135
"Ngaliyan,Semarang,Jawa Tengah",-6.9959811,110.33386
"Tegalrejo,Magelang,Jawa Tengah",-6.9959811,110.33386
"Tegal Timur,Tegal,Jawa Tengah",-7.4578655,110.273745
"Tempel,Sleman,D I Yogyakarta",-7.6620455,110.3194249
"Pleret,Bantul,D I Yogyakarta",-7.8774265,110.4152769
"Berbah,Sleman,D I Yogyakarta",-7.807446,110.454015
"Bantul,Bantul,D I Yogyakarta",-7.9023301,110.3275845
"Pajangan,Bantul,D I Yogyakarta",-7.8721221,110.289631
"Panggang,Gunung Kidul,D I Yogyakarta",-8.0373295,110.4416135
"Purwokerto Selatan,Banyumas,Jawa Tengah",-7.4528609,109.2434275
"Gatak,Sukoharjo,Jawa Tengah",-7.593236,110.7360535
"Mlati,Sleman,D I Yogyakarta",-7.7374005,110.3460011
"Brebes,Brebes,Jawa Tengah",-6.838317,109.0568291
"Panarukan,Situbondo,Jawa Timur",-7.6930689,113.9678415
"Panji,Situbondo,Jawa Timur",-7.708082,114.0351139
"Banyuanyar,Probolinggo,Jawa Timur",-7.869596,113.3135649
"Pakal,Surabaya,Jawa Timur",-7.231827,112.6144725
"Soko,Tuban,Jawa Timur",-7.0986139,111.9385015
"Lamongan,Lamongan,Jawa Timur",-7.127605,112.3937185
"Ngasem,Kediri,Jawa Timur",-7.8015285,112.0446766
"Sukodono,Sidoarjo,Jawa Timur",-7.3974885,112.6653435
"Denpasar Utara,Denpasar,Bali",-8.6248115,115.2116315
"Manggis,Karang Asem,Bali",-8.4975314,115.538827
"Sukasada,Buleleng,Bali",-8.218703,115.1043575
"Tampaksiring,Gianyar,Bali",-8.4439086,115.3066445
"Suralaga,Lombok Timur,Nusa Tenggara Barat",-8.612844,116.536765
"Pringgasela,Lombok Timur,Nusa Tenggara Barat",-8.522637,116.4601545
"Labuhan Badas,Sumbawa,Nusa Tenggara Barat",-8.3304924,117.4908664
"Sikur,Lombok Timur,Nusa Tenggara Barat",-8.554753,116.436669
"Sakra Barat,Lombok Timur,Nusa Tenggara Barat",-8.72062,116.478513
"Jerowaru,Lombok Timur,Nusa Tenggara Barat",-8.72062,116.478513
"Ampenan,Mataram,Nusa Tenggara Barat",-8.5704174,116.0865409
"Buer,Sumbawa,Nusa Tenggara Barat",-8.4808575,117.077839
"Taliwang,Sumbawa Barat,Nusa Tenggara Barat",-8.737273,116.7997726
"Tambora,Bima,Nusa Tenggara Barat",-8.2156674,117.9600785
"Manggalewa,Dompu,Nusa Tenggara Barat",-8.5696495,118.27851
"Praya Timur,Lombok Tengah,Nusa Tenggara Barat",-8.8003305,116.3792785
"Praya Tengah,Lombok Tengah,Nusa Tenggara Barat",-8.723343,116.3255195
"Terara,Lombok Timur,Nusa Tenggara Barat",-8.6593295,116.428652
"Lambu,Bima,Nusa Tenggara Barat",-8.6495409,119.0579835
"Soromandi,Bima,Nusa Tenggara Barat",-8.3625366,118.572422
"Rasanae Barat,Bima,Nusa Tenggara Barat",-8.4720039,118.7249264
"Satui,Tanah Bumbu,Kalimantan Selatan",-3.6784105,115.4488715
"Simpang Empat,Tanah Bumbu,Kalimantan Selatan",-3.2974861,115.9702535
"Astambul,Banjar,Kalimantan Selatan",-3.3220031,114.9336915
"Pandawan,Hulu Sungai Tengah,Kalimantan Selatan",-2.5580675,115.3091151
"Banjang,Hulu Sungai Utara,Kalimantan Selatan",-2.4480766,115.332688
"Banua Lawas,Tabalong,Kalimantan Selatan",-2.287409,115.2213621
"Tanta,Tabalong,Kalimantan Selatan",-2.2557389,115.4184855
"Banjarmasin Tengah,Banjarmasin,Kalimantan Selatan",-3.318189,114.588294
"Alalak,Barito Kuala,Kalimantan Selatan",-3.2391089,114.5919379
"Jatipuro,Karanganyar,Jawa Tengah",-7.7499346,111.0125765
"Bonto Bahari,Bulukumba,Sulawesi Selatan",-5.5760375,120.3987174
"Penrang,Wajo,Sulawesi Selatan",-4.0740719,120.255051
"Watang Sidenreng,Sidenreng Rappang,Sulawesi Selatan",-3.9089445,119.866008
"Kemuning,Indragiri Hilir,Riau",-0.9350715,102.7367505
"Pangalengan,Bandung,Jawa Barat",-7.205792,107.566085
"Tiga Binanga,Karo,Sumatera Utara",3.093048,98.220557
"Dolok Silau,Simalungun,Sumatera Utara",3.0878051,98.6877545
"Lamposi Tigo Nagori,Payakumbuh,Sumatera Barat",-0.2055325,100.6064455
"Sarudik,Tapanuli Tengah,Sumatera Utara",1.732438,98.8436955
"Siantar Sitalasari,Pematang Siantar,Sumatera Utara",2.970837,99.0393514
"Medan Petisah,Medan,Sumatera Utara",3.5927106,98.6612025
"Sei Putih Barat,Medan,Sumatera Utara",3.5960845,98.6499605
"Medan Helvetia,Medan,Sumatera Utara",3.6073716,98.6318275
"Tanjung Gusta,Medan,Sumatera Utara",3.6114245,98.6136395
"Tebing Tinggi Kota,Tebing Tinggi,Sumatera Utara",3.328067,99.1541265
"Bandar Utama,Tebing Tinggi,Sumatera Utara",3.3331396,99.1575655
"Bajenis,Tebing Tinggi,Sumatera Utara",3.3318629,99.135361
"Berohol,Tebing Tinggi,Sumatera Utara",3.3410074,99.1361819
"Pauh,Padang,Sumatera Barat",-0.869757,100.4794073
"Padang Timur,Padang,Sumatera Barat",-0.9452524,100.3806096
"Kuranji,Padang,Sumatera Barat",-0.8927,100.416622
"Batipuh,Tanah Datar,Sumatera Barat",-0.4844299,100.4662139
"Gunung Sahilan,Kampar,Riau",0.0348255,101.323648
"Alang Alang Lebar,Palembang,Sumatera Selatan",-2.942459,104.7047085
"Prabumulih Utara,Prabumulih,Sumatera Selatan",-3.415366,104.2188489
"Sematang Borang,Palembang,Sumatera Selatan",-2.9425109,104.8189475
"Belimbing,Muara Enim,Sumatera Selatan",-3.4266345,103.9856226
"Gabek,Pangkal Pinang,Kepulauan Bangka Belitung",-2.0847675,106.1124505
"Labuhan Ratu,Bandar Lampung,Lampung",-5.3724485,105.2566089
"Langkapura,Bandar Lampung,Lampung",-5.3928765,105.2329346
"Kedamaian,Bandar Lampung,Lampung",-5.4136165,105.2806544
"Way Halim,Bandar Lampung,Lampung",-5.3892751,105.2731005
"Pancoran Mas,Depok,Jawa Barat",-6.399113,106.7999535
"Cinere,Depok,Jawa Barat",-6.332401,106.7907829
"Cipanas,Cianjur,Jawa Barat",-6.721545,107.014454
"Sukadiri,Tangerang,Banten",-6.067959,106.5598451
"Gambir,Jakarta Pusat,Dki Jakarta",-6.1715045,106.8175095
"Gekbrong,Cianjur,Jawa Barat",-6.8594995,107.0420274
"Cileunyi,Bandung,Jawa Barat",-6.9254795,107.7338375
"Sukoharjo,Sukoharjo,Jawa Tengah",-7.6828475,110.831434
"Rengasdengklok,Karawang,Jawa Barat",-6.1760933,107.290844
"Tanah Sereal,Bogor,Jawa Barat",-6.5726115,106.8011015
"Dramaga,Bogor,Jawa Barat",-6.5875072,106.7319552
"Ciawi,Bogor,Jawa Barat",-6.7019959,106.891094
"Ngamprah,Bandung Barat,Jawa Barat",-6.8338245,107.512576
"Talun,Cirebon,Jawa Barat",-6.7629369,108.507289
"Kedawung,Cirebon,Jawa Barat",-6.7131294,108.5321185
"Depok,Cirebon,Jawa Barat",-6.7297905,108.442021
"Cilacap Selatan,Cilacap,Jawa Tengah",-7.7302525,108.9234755
"Pengasih,Kulon Progo,D I Yogyakarta",-7.8304611,110.154856
"Banyu Urip,Purworejo,Jawa Tengah",-7.7444535,109.9802505
"Gajah Mungkur,Semarang,Jawa Tengah",-7.0128891,110.4034175
"Mayong,Jepara,Jawa Tengah",-6.7162851,110.78114
"Pakis Aji,Jepara,Jawa Tengah",-6.5818874,110.769758
"Sidomukti,Salatiga,Jawa Tengah",-7.3368005,110.488366
"Serengan,Surakarta,Jawa Tengah",-7.5819985,110.8164944
"Bambang Lipuro,Bantul,D I Yogyakarta",-7.9446065,110.3159645
"Kutawaringin,Bandung,Jawa Barat",-6.9979901,107.5137074
"Sapto Sari,Gunung Kidul,D I Yogyakarta",-8.075472,110.5085966
"Srandakan,Bantul,D I Yogyakarta",-7.9600814,110.2387521
"Kota Baru,Jambi,Jambi",-1.648466,103.5781011
"Sungai Pagu,Solok Selatan,Sumatera Barat",-1.492542,101.0902809
"Doko,Blitar,Jawa Timur",-8.0390594,112.4081879
"Srono,Banyuwangi,Jawa Timur",-8.37411,114.2577499
"Pandaan,Pasuruan,Jawa Timur",-7.6462154,112.7083795
"Maron,Probolinggo,Jawa Timur",-7.8418849,113.3622049
"Krian,Sidoarjo,Jawa Timur",-7.402904,112.5950649
"Trawas,Mojokerto,Jawa Timur",-7.6534844,112.5933816
"Belitang Ii,Ogan Komering Ulu Timur,Sumatera Selatan",-4.0340211,104.834903
"Sukodadi,Lamongan,Jawa Timur",-7.112755,112.34011
"Wringinanom,Gresik,Jawa Timur",-7.3682415,112.5236386
"Sandubaya,Mataram,Nusa Tenggara Barat",-8.5951169,116.1447515
"Gianyar,Gianyar,Bali",-8.5123445,115.3368675
"Jereweh,Sumbawa Barat,Nusa Tenggara Barat",-8.936304,116.9105689
"Kelumpang Hilir,Kota Baru,Kalimantan Selatan",-3.185308,116.058294
"Bungur,Tapin,Kalimantan Selatan",-3.0017855,115.208119
"Martapura Barat,Banjar,Kalimantan Selatan",-3.331913,114.8034845
"Panca Rijang,Sidenreng Rappang,Sulawesi Selatan",-3.842714,119.8540716
"Turatea,Jeneponto,Sulawesi Selatan",-5.6024579,119.7557365
"Cepu,Blora,Jawa Tengah",-7.167164,111.56946
